Episodes Time-Steps Steps-In-One-Episode
0 0 0
38 1 38
421 2 383
483 3 62
751 4 268
800 5 49
822 6 22
985 7 163
1005 8 20
1102 9 97
1191 10 89
1299 11 108
1338 12 39
1371 13 33
1475 14 104
1571 15 96
1624 16 53
1648 17 24
1689 18 41
1887 19 198
1979 20 92
2072 21 93
2118 22 46
2240 23 122
2314 24 74
2337 25 23
2406 26 69
2427 27 21
2466 28 39
2519 29 53
2587 30 68
2665 31 78
2690 32 25
2864 33 174
2887 34 23
2985 35 98
2994 36 9
3043 37 49
3087 38 44
3136 39 49
3149 40 13
3262 41 113
3324 42 62
3405 43 81
3430 44 25
3529 45 99
3582 46 53
3616 47 34
3651 48 35
3663 49 12
3709 50 46
3764 51 55
3779 52 15
3807 53 28
4019 54 212
4085 55 66
4195 56 110
4371 57 176
4398 58 27
4429 59 31
4444 60 15
4548 61 104
4585 62 37
4634 63 49
4663 64 29
4693 65 30
4727 66 34
4763 67 36
4785 68 22
4815 69 30
4851 70 36
4873 71 22
4907 72 34
4940 73 33
4998 74 58
5059 75 61
5244 76 185
5273 77 29
5417 78 144
5428 79 11
5477 80 49
5572 81 95
5609 82 37
5642 83 33
5654 84 12
5662 85 8
5710 86 48
5738 87 28
5761 88 23
5778 89 17
5803 90 25
5828 91 25
5861 92 33
5912 93 51
5935 94 23
5956 95 21
6017 96 61
6089 97 72
6126 98 37
6240 99 114
6436 100 196
6483 101 47
6757 102 274
6833 103 76
6872 104 39
6939 105 67
6979 106 40
7007 107 28
7088 108 81
7157 109 69
7175 110 18
7226 111 51
7300 112 74
7346 113 46
7432 114 86
7474 115 42
7554 116 80
7585 117 31
7607 118 22
7711 119 104
7734 120 23
7768 121 34
7860 122 92
7998 123 138
8030 124 32
8050 125 20
8063 126 13
8097 127 34
8237 128 140
8286 129 49
8297 130 11
8324 131 27
8371 132 47
8389 133 18
8489 134 100
8577 135 88
8611 136 34
8701 137 90
8718 138 17
8742 139 24
8781 140 39
8861 141 80
8879 142 18
8894 143 15
8913 144 19
8969 145 56
9008 146 39
9038 147 30
9075 148 37
9124 149 49
9141 150 17
9166 151 25
9183 152 17
