Episodes Time-Steps Steps-In-One-Episode
0 0 0
41 1 41
175 2 134
295 3 120
527 4 232
658 5 131
737 6 79
764 7 27
1148 8 384
1195 9 47
1329 10 134
1375 11 46
1439 12 64
1495 13 56
1559 14 64
1639 15 80
1695 16 56
1764 17 69
1907 18 143
1943 19 36
2038 20 95
2082 21 44
2099 22 17
2186 23 87
2216 24 30
2229 25 13
2318 26 89
2506 27 188
2633 28 127
2726 29 93
2858 30 132
2905 31 47
2985 32 80
3058 33 73
3092 34 34
3172 35 80
3244 36 72
3311 37 67
3432 38 121
3487 39 55
3498 40 11
3554 41 56
3568 42 14
3614 43 46
3644 44 30
3687 45 43
3730 46 43
3746 47 16
3760 48 14
3779 49 19
3811 50 32
3832 51 21
3862 52 30
3994 53 132
4046 54 52
4084 55 38
4239 56 155
4268 57 29
4315 58 47
4366 59 51
4432 60 66
4477 61 45
4559 62 82
4594 63 35
4630 64 36
4757 65 127
4805 66 48
4904 67 99
4937 68 33
4990 69 53
4999 70 9
5050 71 51
5079 72 29
5154 73 75
5178 74 24
5243 75 65
5260 76 17
5319 77 59
5364 78 45
5394 79 30
5415 80 21
5529 81 114
5596 82 67
5690 83 94
5787 84 97
5817 85 30
5835 86 18
5894 87 59
6039 88 145
6082 89 43
6136 90 54
6219 91 83
6274 92 55
6300 93 26
6374 94 74
6463 95 89
6529 96 66
6677 97 148
6718 98 41
6768 99 50
6787 100 19
6847 101 60
6907 102 60
6925 103 18
6978 104 53
7003 105 25
7030 106 27
7111 107 81
7242 108 131
7359 109 117
7418 110 59
7522 111 104
7592 112 70
7638 113 46
7766 114 128
7810 115 44
7831 116 21
7861 117 30
7946 118 85
7979 119 33
8017 120 38
8079 121 62
8144 122 65
8182 123 38
8201 124 19
8246 125 45
8286 126 40
8356 127 70
8448 128 92
8533 129 85
8611 130 78
8635 131 24
8804 132 169
8888 133 84
8991 134 103
9020 135 29
9092 136 72
9123 137 31
9147 138 24
9170 139 23
9258 140 88
9319 141 61
9334 142 15
9365 143 31
9436 144 71
9643 145 207
9816 146 173
9966 147 150
10079 148 113
10110 149 31
10157 150 47
10168 151 11
10224 152 56
10313 153 89
10370 154 57
10390 155 20
10424 156 34
10520 157 96
10535 158 15
10597 159 62
10627 160 30
10638 161 11
10693 162 55
10711 163 18
10749 164 38
10792 165 43
10843 166 51
10870 167 27
10905 168 35
10948 169 43
10970 170 22
11016 171 46
11051 172 35
11106 173 55
11227 174 121
11275 175 48
11321 176 46
11393 177 72
11452 178 59
11472 179 20
11654 180 182
11706 181 52
11776 182 70
11893 183 117
11963 184 70
11980 185 17
12020 186 40
12148 187 128
12186 188 38
12215 189 29
12254 190 39
12284 191 30
12375 192 91
12409 193 34
12480 194 71
12517 195 37
12543 196 26
12594 197 51
12627 198 33
12636 199 9
12730 200 94
