Episodes Time-Steps Steps-In-One-Episode
0 0 0
76 1 76
103 2 27
232 3 129
307 4 75
333 5 26
605 6 272
687 7 82
749 8 62
1026 9 277
1265 10 239
1441 11 176
1565 12 124
1616 13 51
1668 14 52
1745 15 77
1777 16 32
1830 17 53
1853 18 23
2009 19 156
2168 20 159
2212 21 44
2314 22 102
2365 23 51
2428 24 63
2531 25 103
2737 26 206
2807 27 70
2898 28 91
2959 29 61
2982 30 23
3061 31 79
3215 32 154
3288 33 73
3303 34 15
3352 35 49
3412 36 60
3478 37 66
3540 38 62
3592 39 52
3755 40 163
3786 41 31
3838 42 52
3877 43 39
4020 44 143
4040 45 20
4087 46 47
4117 47 30
4345 48 228
4365 49 20
4387 50 22
4465 51 78
4619 52 154
4658 53 39
4677 54 19
4761 55 84
4830 56 69
4847 57 17
4902 58 55
4944 59 42
4985 60 41
5064 61 79
5099 62 35
5200 63 101
5256 64 56
5333 65 77
5485 66 152
5568 67 83
5623 68 55
5698 69 75
5715 70 17
5751 71 36
5773 72 22
5808 73 35
5942 74 134
5957 75 15
5976 76 19
6014 77 38
6059 78 45
6100 79 41
6146 80 46
6244 81 98
6294 82 50
6354 83 60
6407 84 53
6444 85 37
6516 86 72
6599 87 83
6622 88 23
6666 89 44
6685 90 19
6719 91 34
6733 92 14
6752 93 19
6766 94 14
6801 95 35
6841 96 40
6854 97 13
6880 98 26
6895 99 15
6917 100 22
6927 101 10
6953 102 26
6964 103 11
6998 104 34
7007 105 9
7018 106 11
7072 107 54
7106 108 34
7151 109 45
7241 110 90
7326 111 85
7564 112 238
7636 113 72
7677 114 41
7726 115 49
7808 116 82
7841 117 33
7869 118 28
7897 119 28
7906 120 9
8044 121 138
8099 122 55
8162 123 63
8185 124 23
8199 125 14
8214 126 15
8302 127 88
8331 128 29
8368 129 37
8383 130 15
8420 131 37
8464 132 44
8524 133 60
8553 134 29
8618 135 65
8657 136 39
8708 137 51
8732 138 24
8746 139 14
8772 140 26
8780 141 8
8795 142 15
8886 143 91
8907 144 21
8931 145 24
8992 146 61
9068 147 76
9096 148 28
9106 149 10
9149 150 43
9195 151 46
9258 152 63
9420 153 162
9472 154 52
9537 155 65
9682 156 145
9742 157 60
9788 158 46
9821 159 33
9863 160 42
9877 161 14
10010 162 133
10031 163 21
10206 164 175
10269 165 63
10315 166 46
10339 167 24
10389 168 50
10518 169 129
10598 170 80
10681 171 83
10712 172 31
10943 173 231
11027 174 84
11106 175 79
11152 176 46
11206 177 54
11314 178 108
11357 179 43
11380 180 23
11418 181 38
11425 182 7
11443 183 18
11493 184 50
11506 185 13
11532 186 26
11562 187 30
11601 188 39
11625 189 24
11672 190 47
11693 191 21
11718 192 25
11754 193 36
11772 194 18
11790 195 18
11820 196 30
11842 197 22
11864 198 22
11898 199 34
11915 200 17
