Episodes Time-Steps Steps-In-One-Episode
18700 455 14
18715 456 15
18726 457 11
18751 458 25
18759 459 8
18771 460 12
18782 461 11
18791 462 9
18800 463 9
18812 464 12
18829 465 17
18841 466 12
18862 467 21
18881 468 19
18895 469 14
18913 470 18
18928 471 15
18944 472 16
18963 473 19
18981 474 18
18993 475 12
19019 476 26
19038 477 19
19062 478 24
19088 479 26
19097 480 9
19112 481 15
19120 482 8
19130 483 10
19140 484 10
19150 485 10
19171 486 21
19186 487 15
19197 488 11
19212 489 15
19227 490 15
19242 491 15
19265 492 23
19288 493 23
19303 494 15
19316 495 13
19332 496 16
19348 497 16
19362 498 14
19401 499 39
19419 500 18
19451 501 32
19460 502 9
19475 503 15
19491 504 16
19502 505 11
19518 506 16
19537 507 19
19545 508 8
19555 509 10
19593 510 38
19605 511 12
19623 512 18
19640 513 17
19656 514 16
19664 515 8
19673 516 9
19682 517 9
19689 518 7
19700 519 11
19730 520 30
19739 521 9
19751 522 12
19771 523 20
19780 524 9
19797 525 17
19806 526 9
19819 527 13
19832 528 13
19841 529 9
19852 530 11
19861 531 9
19882 532 21
19892 533 10
19904 534 12
19921 535 17
19935 536 14
19949 537 14
19967 538 18
19986 539 19
19996 540 10
20005 541 9
20024 542 19
20033 543 9
20059 544 26
20072 545 13
20091 546 19
20103 547 12
20114 548 11
20135 549 21
20153 550 18
20164 551 11
20178 552 14
20190 553 12
20233 554 43
20248 555 15
20269 556 21
20280 557 11
20290 558 10
20297 559 7
20305 560 8
20318 561 13
20345 562 27
20369 563 24
20385 564 16
20399 565 14
20409 566 10
20425 567 16
20446 568 21
20464 569 18
20477 570 13
20487 571 10
20499 572 12
20507 573 8
20534 574 27
20572 575 38
20598 576 26
20609 577 11
20619 578 10
20634 579 15
20647 580 13
20655 581 8
20665 582 10
20674 583 9
20688 584 14
20698 585 10
20707 586 9
20718 587 11
20728 588 10
20743 589 15
20757 590 14
20767 591 10
20777 592 10
20799 593 22
20807 594 8
20830 595 23
20838 596 8
20864 597 26
20877 598 13
20890 599 13
20901 600 11
20913 601 12
20929 602 16
20946 603 17
20962 604 16
20976 605 14
20994 606 18
21010 607 16
21017 608 7
21029 609 12
21042 610 13
21054 611 12
21063 612 9
21081 613 18
21094 614 13
21109 615 15
21121 616 12
21134 617 13
21144 618 10
21159 619 15
21167 620 8
21176 621 9
21183 622 7
21191 623 8
21206 624 15
21215 625 9
21222 626 7
21233 627 11
21244 628 11
21253 629 9
21264 630 11
